"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
601.00,"G4","Allegiant Air",14112,"PIE","St. Petersburg, FL",10693,"BNA","Nashville, TN","694",12,
601.00,"WN","Southwest Airlines Co.",11042,"CLE","Cleveland, OH",13232,"MDW","Chicago, IL","614",12,
601.00,"AA","American Airlines Inc.",11057,"CLT","Charlotte, NC",13577,"MYR","Myrtle Beach, SC","699",12,
601.00,"UA","United Air Lines Inc.",11292,"DEN","Denver, CO",11603,"EUG","Eugene, OR","888",12,
601.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",14679,"SAN","San Diego, CA","612",12,
601.00,"UA","United Air Lines Inc.",13244,"MEM","Memphis, TN",11292,"DEN","Denver, CO","614",12,
602.00,"9E","Endeavor Air Inc.",10397,"ATL","Atlanta, GA",10431,"AVL","Asheville, NC","631",12,
602.00,"EV","ExpressJet Airlines LLC",10140,"ABQ","Albuquerque, NM",12266,"IAH","Houston, TX","673",12,
602.00,"MQ","Envoy Air",13930,"ORD","Chicago, IL",14108,"PIA","Peoria, IL","676",12,
602.00,"7H","Corvus Airlines, Inc d/b/a Era Aviation d/b/a Ravn Alaska",12807,"KSM","St. Mary's, AK",10299,"ANC","Anchorage, AK","483",12,
602.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",14492,"RDU","Raleigh/Durham, NC","614",12,
603.00,"9E","Endeavor Air Inc.",11433,"DTW","Detroit, MI",13485,"MSN","Madison, WI","638",12,
603.00,"YX","Republic Airline",13495,"MSY","New Orleans, LA",11292,"DEN","Denver, CO","673",12,
603.00,"G4","Allegiant Air",14761,"SFB","Sanford, FL",11721,"FNT","Flint, MI","694",12,
603.00,"G4","Allegiant Air",15096,"SYR","Syracuse, NY",14761,"SFB","Sanford, FL","694",12,
603.00,"F9","Frontier Airlines Inc.",11423,"DSM","Des Moines, IA",14107,"PHX","Phoenix, AZ","694",12,
603.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",14679,"SAN","San Diego, CA","698",12,
604.00,"9E","Endeavor Air Inc.",12206,"HRL","Harlingen/San Benito, TX",13487,"MSP","Minneapolis, MN","638",12,
604.00,"9E","Endeavor Air Inc.",13204,"MCO","Orlando, FL",10693,"BNA","Nashville, TN","638",12,
604.00,"AS","Alaska Airlines Inc.",13198,"MCI","Kansas City, MO",14747,"SEA","Seattle, WA","614",12,
604.00,"OO","SkyWest Airlines Inc.",11298,"DFW","Dallas/Fort Worth, TX",14698,"SBP","San Luis Obispo, CA","631",12,
604.00,"OO","SkyWest Airlines Inc.",14869,"SLC","Salt Lake City, UT",10620,"BIL","Billings, MT","631",12,
604.00,"OH","PSA Airlines Inc.",13360,"MLB","Melbourne, FL",14100,"PHL","Philadelphia, PA","638",12,
604.00,"QX","Horizon Air",10713,"BOI","Boise, ID",14747,"SEA","Seattle, WA","673",12,
604.00,"SY","Sun Country Airlines d/b/a MN Airlines",15304,"TPA","Tampa, FL",15016,"STL","St. Louis, MO","614",12,
