PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10304,ANI,Aniak, AK,035,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10304,ANI,Aniak, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,10551,BET,Bethel, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11550,EMK,Emmonak, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11555,ENA,Kenai, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11630,FAI,Fairbanks, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11630,FAI,Fairbanks, AK,405,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,11844,GAL,Galena, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,12195,HPB,Hooper Bay, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,12195,HPB,Hooper Bay, AK,035,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,12720,KLL,Levelock, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,13196,MCG,McGrath, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,13434,MOU,Mountain Village, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14234,PQS,Pilot Station, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14627,RSH,Russian Mission, AK,035,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,14718,SCM,Scammon Bay, AK,416,8,
0.00,H6,Hageland Aviation Service,12807,KSM,St. Mary's, AK,15085,SXP,Sheldon Point, AK,035,8,
0.00,H6,Hageland Aviation Service,12822,KTS,Brevig Mission, AK,11941,GLV,Golovin, AK,194,8,
0.00,H6,Hageland Aviation Service,12831,KUK,Kasigluk, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,12844,KVL,Kivalina, AK,13970,OTZ,Kotzebue, AK,194,8,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,15257,TLT,Tuluksak, AK,416,8,
0.00,H6,Hageland Aviation Service,12851,KWK,Kwigillingok, AK,15798,WNA,Napakiak, AK,035,8,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,11952,GNU,Goodnews Bay, AK,416,8,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,14130,PKA,Napaskiak, AK,035,8,
0.00,H6,Hageland Aviation Service,12853,KWN,Quinhagak, AK,14282,PTU,Platinum, AK,035,8,
0.00,H6,Hageland Aviation Service,12868,KYU,Koyukuk, AK,13768,NUL,Nulato, AK,194,8,
0.00,H6,Hageland Aviation Service,12868,KYU,Koyukuk, AK,13768,NUL,Nulato, AK,405,8,
0.00,H6,Hageland Aviation Service,12868,KYU,Koyukuk, AK,14474,RBY,Ruby, AK,194,8,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,12807,KSM,St. Mary's, AK,416,8,
0.00,H6,Hageland Aviation Service,13196,MCG,McGrath, AK,15478,UNK,Unalakleet, AK,405,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,10241,AKI,Akiak, AK,035,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,10304,ANI,Aniak, AK,416,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,12709,KKI,Akiachak, AK,416,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,13369,MLL,Marshall, AK,15257,TLT,Tuluksak, AK,035,8,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,10551,BET,Bethel, AK,035,8,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,13369,MLL,Marshall, AK,035,8,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,14627,RSH,Russian Mission, AK,035,8,
0.00,H6,Hageland Aviation Service,13434,MOU,Mountain Village, AK,15478,UNK,Unalakleet, AK,416,8,
0.00,H6,Hageland Aviation Service,13710,NME,Nightmute, AK,11227,CYF,Chefornak, AK,035,8,
0.00,H6,Hageland Aviation Service,13767,NUI,Nuiqsut, AK,10754,BRW,Barrow, AK,416,8,
0.00,H6,Hageland Aviation Service,13768,NUL,Nulato, AK,11630,FAI,Fairbanks, AK,194,8,
0.00,H6,Hageland Aviation Service,13768,NUL,Nulato, AK,14474,RBY,Ruby, AK,194,8,
0.00,H6,Hageland Aviation Service,13770,NUP,Nunapitchuk, AK,10304,ANI,Aniak, AK,416,8,
0.00,H6,Hageland Aviation Service,13770,NUP,Nunapitchuk, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,13770,NUP,Nunapitchuk, AK,15798,WNA,Napakiak, AK,035,8,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,10754,BRW,Barrow, AK,405,8,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15049,SVA,Savoonga, AK,405,8,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15709,WAA,Wales, AK,194,8,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15709,WAA,Wales, AK,405,8,
0.00,H6,Hageland Aviation Service,13873,OME,Nome, AK,15794,WMO,White Mountain, AK,194,8,
0.00,H6,Hageland Aviation Service,13894,OOK,Toksook, AK,12831,KUK,Kasigluk, AK,035,8,
0.00,H6,Hageland Aviation Service,13942,ORV,Noorvik, AK,13970,OTZ,Kotzebue, AK,194,8,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,11411,DRG,Deering, AK,416,8,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,12268,IAN,Kiana, AK,194,8,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,14102,PHO,Point Hope, AK,405,8,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,14102,PHO,Point Hope, AK,405,8,
0.00,H6,Hageland Aviation Service,13970,OTZ,Kotzebue, AK,15861,WTK,Noatak, AK,194,8,
0.00,H6,Hageland Aviation Service,14102,PHO,Point Hope, AK,10754,BRW,Barrow, AK,405,8,
0.00,H6,Hageland Aviation Service,14102,PHO,Point Hope, AK,13970,OTZ,Kotzebue, AK,405,8,
0.00,H6,Hageland Aviation Service,14102,PHO,Point Hope, AK,13970,OTZ,Kotzebue, AK,416,8,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,10754,BRW,Barrow, AK,405,8,
0.00,H6,Hageland Aviation Service,14125,PIZ,Point Lay, AK,14102,PHO,Point Hope, AK,416,8,
0.00,H6,Hageland Aviation Service,14130,PKA,Napaskiak, AK,10551,BET,Bethel, AK,035,8,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,10405,ATT,Atmautluak, AK,035,8,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,13369,MLL,Marshall, AK,035,8,
0.00,H6,Hageland Aviation Service,14234,PQS,Pilot Station, AK,13710,NME,Nightmute, AK,416,8,
0.00,H6,Hageland Aviation Service,14493,RDV,Red Devil, AK,14880,SLQ,Sleetmute, AK,035,8,
0.00,H6,Hageland Aviation Service,14627,RSH,Russian Mission, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,14627,RSH,Russian Mission, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,14627,RSH,Russian Mission, AK,12807,KSM,St. Mary's, AK,035,8,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,10754,BRW,Barrow, AK,416,8,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,10775,BTI,Barter Island, AK,405,8,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,11630,FAI,Fairbanks, AK,405,8,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,11630,FAI,Fairbanks, AK,405,8,
0.00,H6,Hageland Aviation Service,14709,SCC,Deadhorse, AK,14709,SCC,Deadhorse, AK,405,8,
0.00,H6,Hageland Aviation Service,14718,SCM,Scammon Bay, AK,15721,WBB,Stebbins, AK,416,8,
0.00,H6,Hageland Aviation Service,14738,SDP,Sandpoint, AK,10917,CDB,Cold Bay, AK,405,8,
0.00,H6,Hageland Aviation Service,14804,SHG,Shungnak, AK,13970,OTZ,Kotzebue, AK,416,8,
0.00,H6,Hageland Aviation Service,14805,SHH,Shishmaref, AK,13970,OTZ,Kotzebue, AK,416,8,
0.00,H6,Hageland Aviation Service,14805,SHH,Shishmaref, AK,15709,WAA,Wales, AK,194,8,
0.00,H6,Hageland Aviation Service,14816,SHX,Shageluk, AK,10304,ANI,Aniak, AK,416,8,
0.00,H6,Hageland Aviation Service,14816,SHX,Shageluk, AK,12676,KGX,Grayling, AK,035,8,
0.00,H6,Hageland Aviation Service,14856,SKK,Shaktoolik, AK,13873,OME,Nome, AK,194,8,
0.00,H6,Hageland Aviation Service,14856,SKK,Shaktoolik, AK,15478,UNK,Unalakleet, AK,405,8,
0.00,H6,Hageland Aviation Service,14856,SKK,Shaktoolik, AK,15478,UNK,Unalakleet, AK,405,8,
0.00,H6,Hageland Aviation Service,14880,SLQ,Sleetmute, AK,10996,CHU,Chuathbaluk, AK,035,8,
0.00,H6,Hageland Aviation Service,14880,SLQ,Sleetmute, AK,14493,RDV,Red Devil, AK,035,8,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,10299,ANC,Anchorage, AK,405,8,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,10551,BET,Bethel, AK,416,8,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,14627,RSH,Russian Mission, AK,416,8,
0.00,H6,Hageland Aviation Service,14895,SMK,St. Michael, AK,15478,UNK,Unalakleet, AK,405,8,
