"PASSENGERS","UNIQUE_CARRIER","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST","DEST_CITY_NAME","AIRCRAFT_TYPE","MONTH",
395.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",12478,"JFK","New York, NY","626",4,
395.00,"WN","Southwest Airlines Co.",10693,"BNA","Nashville, TN",12451,"JAX","Jacksonville, FL","614",4,
396.00,"DL","Delta Air Lines Inc.",14027,"PBI","West Palm Beach/Palm Beach, FL",10397,"ATL","Atlanta, GA","622",4,
396.00,"H6","Hageland Aviation Service",12779,"KPN","Kipnuk, AK",10551,"BET","Bethel, AK","416",4,
396.00,"WN","Southwest Airlines Co.",15016,"STL","St. Louis, MO",15370,"TUL","Tulsa, OK","614",4,
396.00,"G4","Allegiant Air",10135,"ABE","Allentown/Bethlehem/Easton, PA",14112,"PIE","St. Petersburg, FL","698",4,
396.00,"WN","Southwest Airlines Co.",14831,"SJC","San Jose, CA",13495,"MSY","New Orleans, LA","612",4,
397.00,"G4","Allegiant Air",11697,"FLL","Fort Lauderdale, FL",12544,"USA","Concord, NC","698",4,
397.00,"NK","Spirit Air Lines",10158,"ACY","Atlantic City, NJ",14635,"RSW","Fort Myers, FL","722",4,
397.00,"OH","PSA Airlines Inc.",11057,"CLT","Charlotte, NC",12264,"IAD","Washington, DC","631",4,
397.00,"AA","American Airlines Inc.",14100,"PHL","Philadelphia, PA",11057,"CLT","Charlotte, NC","687",4,
398.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",14771,"SFO","San Francisco, CA","622",4,
398.00,"G4","Allegiant Air",10466,"AZA","Phoenix, AZ",13433,"MOT","Minot, ND","698",4,
398.00,"NK","Spirit Air Lines",13577,"MYR","Myrtle Beach, SC",11697,"FLL","Fort Lauderdale, FL","722",4,
398.00,"UA","United Air Lines Inc.",14869,"SLC","Salt Lake City, UT",11618,"EWR","Newark, NJ","694",4,
398.00,"WN","Southwest Airlines Co.",10800,"BUR","Burbank, CA",12191,"HOU","Houston, TX","612",4,
398.00,"WN","Southwest Airlines Co.",14683,"SAT","San Antonio, TX",11540,"ELP","El Paso, TX","614",4,
399.00,"YX","Republic Airline",13930,"ORD","Chicago, IL",13198,"MCI","Kansas City, MO","673",4,
399.00,"F9","Frontier Airlines Inc.",14869,"SLC","Salt Lake City, UT",11292,"DEN","Denver, CO","698",4,
399.00,"AS","Alaska Airlines Inc.",14771,"SFO","San Francisco, CA",14100,"PHL","Philadelphia, PA","721",4,
399.00,"1YQ","Air Charter, Inc d/b/a Air Flamenco",11126,"CPX","Culebra, PR",12553,"JRV","Ceiba, PR","131",4,
399.00,"YX","Republic Airline",12266,"IAH","Houston, TX",12992,"LIT","Little Rock, AR","673",4,
399.00,"WN","Southwest Airlines Co.",10994,"CHS","Charleston, SC",15016,"STL","St. Louis, MO","612",4,
399.00,"WN","Southwest Airlines Co.",11433,"DTW","Detroit, MI",10693,"BNA","Nashville, TN","614",4,
399.00,"WN","Southwest Airlines Co.",13204,"MCO","Orlando, FL",10140,"ABQ","Albuquerque, NM","612",4,
400.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",14107,"PHX","Phoenix, AZ","612",4,
400.00,"NK","Spirit Air Lines",11066,"CMH","Columbus, OH",12889,"LAS","Las Vegas, NV","722",4,
400.00,"F9","Frontier Airlines Inc.",13871,"OMA","Omaha, NE",14635,"RSW","Fort Myers, FL","694",4,
400.00,"2E","Smokey Bay Air Inc.",12184,"HOM","Homer, AK",14942,"SOV","Seldovia, AK","035",4,
400.00,"WN","Southwest Airlines Co.",14908,"SNA","Santa Ana, CA",13796,"OAK","Oakland, CA","614",4,
400.00,"F9","Frontier Airlines Inc.",13204,"MCO","Orlando, FL",15016,"STL","St. Louis, MO","699",4,
401.00,"UA","United Air Lines Inc.",10800,"BUR","Burbank, CA",14771,"SFO","San Francisco, CA","694",4,
401.00,"WN","Southwest Airlines Co.",10257,"ALB","Albany, NY",14635,"RSW","Fort Myers, FL","612",4,
401.00,"YX","Republic Airline",12953,"LGA","New York, NY",11986,"GRR","Grand Rapids, MI","673",4,
401.00,"OH","PSA Airlines Inc.",12339,"IND","Indianapolis, IN",11057,"CLT","Charlotte, NC","631",4,
401.00,"F9","Frontier Airlines Inc.",11193,"CVG","Cincinnati, OH",14107,"PHX","Phoenix, AZ","694",4,
401.00,"OH","PSA Airlines Inc.",12264,"IAD","Washington, DC",11057,"CLT","Charlotte, NC","631",4,
401.00,"B6","JetBlue Airways",12478,"JFK","New York, NY",14869,"SLC","Salt Lake City, UT","699",4,
401.00,"DL","Delta Air Lines Inc.",14107,"PHX","Phoenix, AZ",10397,"ATL","Atlanta, GA","626",4,
402.00,"UA","United Air Lines Inc.",14771,"SFO","San Francisco, CA",12266,"IAH","Houston, TX","634",4,
402.00,"G4","Allegiant Air",11996,"GSP","Greer, SC",14112,"PIE","St. Petersburg, FL","698",4,
402.00,"EV","ExpressJet Airlines LLC",10792,"BUF","Buffalo, NY",12264,"IAD","Washington, DC","629",4,
403.00,"UA","United Air Lines Inc.",12266,"IAH","Houston, TX",14893,"SMF","Sacramento, CA","694",4,
403.00,"KAH","Kenmore Air Harbor",11588,"ESD","Eastsound, WA",10559,"BFI","Seattle, WA","416",4,
403.00,"F9","Frontier Airlines Inc.",11292,"DEN","Denver, CO",12448,"JAN","Jackson/Vicksburg, MS","722",4,
403.00,"UA","United Air Lines Inc.",12264,"IAD","Washington, DC",13930,"ORD","Chicago, IL","634",4,
404.00,"OO","SkyWest Airlines Inc.",14262,"PSP","Palm Springs, CA",14107,"PHX","Phoenix, AZ","673",4,
404.00,"G4","Allegiant Air",14112,"PIE","St. Petersburg, FL",11996,"GSP","Greer, SC","698",4,
404.00,"OO","SkyWest Airlines Inc.",10372,"ASE","Aspen, CO",12892,"LAX","Los Angeles, CA","631",4,
404.00,"NK","Spirit Air Lines",13487,"MSP","Minneapolis, MN",14635,"RSW","Fort Myers, FL","722",4,
404.00,"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",13105,"LUK","Cincinnati, OH",13232,"MDW","Chicago, IL","632",4,
404.00,"G7","GoJet Airlines LLC d/b/a United Express",11721,"FNT","Flint, MI",13930,"ORD","Chicago, IL","631",4,
404.00,"DL","Delta Air Lines Inc.",10397,"ATL","Atlanta, GA",11066,"CMH","Columbus, OH","656",4,
404.00,"G4","Allegiant Air",10685,"BMI","Bloomington/Normal, IL",14112,"PIE","St. Petersburg, FL","698",4,
405.00,"F9","Frontier Airlines Inc.",10994,"CHS","Charleston, SC",11292,"DEN","Denver, CO","694",4,
405.00,"AS","Alaska Airlines Inc.",10299,"ANC","Anchorage, AK",12758,"KOA","Kona, HI","614",4,
405.00,"AS","Alaska Airlines Inc.",13970,"OTZ","Kotzebue, AK",13873,"OME","Nome, AK","614",4,
