PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13230,MDT,Harrisburg, PA,12055,GYY,Gary, IN,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13230,MDT,Harrisburg, PA,14259,PSM,Portsmouth, NH,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13230,MDT,Harrisburg, PA,15295,TOL,Toledo, OH,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13244,MEM,Memphis, TN,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13244,MEM,Memphis, TN,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13256,MFE,Mission/McAllen/Edinburg, TX,13303,MIA,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,10185,AEX,Alexandria, LA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,10397,ATL,Atlanta, GA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,11150,CSG,Columbus, GA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,11540,ELP,El Paso, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,12266,IAH,Houston, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,13256,MFE,Mission/McAllen/Edinburg, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,13898,OPF,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13303,MIA,Miami, FL,15304,TPA,Tampa, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13487,MSP,Minneapolis, MN,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13898,OPF,Miami, FL,13303,MIA,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,13898,OPF,Miami, FL,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14259,PSM,Portsmouth, NH,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14307,PVD,Providence, RI,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14307,PVD,Providence, RI,14683,SAT,San Antonio, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14524,RIC,Richmond, VA,10185,AEX,Alexandria, LA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14679,SAN,San Diego, CA,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,10140,ABQ,Albuquerque, NM,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,10466,AZA,Phoenix, AZ,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,10747,BRO,Brownsville, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,11150,CSG,Columbus, GA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,11540,ELP,El Paso, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,12266,IAH,Houston, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,13061,LRD,Laredo, TX,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,13230,MDT,Harrisburg, PA,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,14683,SAT,San Antonio, TX,13303,MIA,Miami, FL,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,15295,TOL,Toledo, OH,11618,EWR,Newark, NJ,655,6,
0.00,WL,Caribbean Sun Airlines Inc. d/b/a World Atlantic Airlines,15295,TOL,Toledo, OH,13487,MSP,Minneapolis, MN,655,6,
