PASSENGERS,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,AIRCRAFT_TYPE,MONTH,
0.00,KAQ,Kalitta Air LLC,12478,JFK,New York, NY,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,12478,JFK,New York, NY,12266,IAH,Houston, TX,819,3,
0.00,KAQ,Kalitta Air LLC,12758,KOA,Kona, HI,12892,LAX,Los Angeles, CA,819,3,
0.00,KAQ,Kalitta Air LLC,12892,LAX,Los Angeles, CA,11193,CVG,Cincinnati, OH,819,3,
0.00,KAQ,Kalitta Air LLC,12892,LAX,Los Angeles, CA,12173,HNL,Honolulu, HI,819,3,
0.00,KAQ,Kalitta Air LLC,12892,LAX,Los Angeles, CA,14771,SFO,San Francisco, CA,819,3,
0.00,KAQ,Kalitta Air LLC,13061,LRD,Laredo, TX,11540,ELP,El Paso, TX,626,3,
0.00,KAQ,Kalitta Air LLC,13303,MIA,Miami, FL,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,13487,MSP,Minneapolis, MN,11433,DTW,Detroit, MI,626,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,10397,ATL,Atlanta, GA,819,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,12478,JFK,New York, NY,819,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,13303,MIA,Miami, FL,819,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,14771,SFO,San Francisco, CA,819,3,
0.00,KAQ,Kalitta Air LLC,14683,SAT,San Antonio, TX,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,14683,SAT,San Antonio, TX,11298,DFW,Dallas/Fort Worth, TX,626,3,
0.00,KAQ,Kalitta Air LLC,14747,SEA,Seattle, WA,11193,CVG,Cincinnati, OH,626,3,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,11193,CVG,Cincinnati, OH,819,3,
0.00,KAQ,Kalitta Air LLC,10299,ANC,Anchorage, AK,13930,ORD,Chicago, IL,819,3,
0.00,KAQ,Kalitta Air LLC,11193,CVG,Cincinnati, OH,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,12478,JFK,New York, NY,10299,ANC,Anchorage, AK,819,3,
0.00,KAQ,Kalitta Air LLC,13930,ORD,Chicago, IL,10299,ANC,Anchorage, AK,819,3,
0.00,1BQ,Eastern Airlines f/k/a Dynamic Airways, LLC,11995,GSO,Greensboro/High Point, NC,13303,MIA,Miami, FL,625,3,
0.00,1BQ,Eastern Airlines f/k/a Dynamic Airways, LLC,13303,MIA,Miami, FL,13303,MIA,Miami, FL,626,3,
0.00,1BQ,Eastern Airlines f/k/a Dynamic Airways, LLC,13303,MIA,Miami, FL,13495,MSY,New Orleans, LA,626,3,
0.00,1TQ,Rhoades Aviation dba Transair,12173,HNL,Honolulu, HI,12402,ITO,Hilo, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12173,HNL,Honolulu, HI,12758,KOA,Kona, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12173,HNL,Honolulu, HI,12982,LIH,Lihue, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12173,HNL,Honolulu, HI,13830,OGG,Kahului, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12402,ITO,Hilo, HI,12173,HNL,Honolulu, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12402,ITO,Hilo, HI,12758,KOA,Kona, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12402,ITO,Hilo, HI,13830,OGG,Kahului, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12758,KOA,Kona, HI,12173,HNL,Honolulu, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12758,KOA,Kona, HI,13830,OGG,Kahului, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12982,LIH,Lihue, HI,12173,HNL,Honolulu, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12982,LIH,Lihue, HI,12402,ITO,Hilo, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,12982,LIH,Lihue, HI,13830,OGG,Kahului, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,13830,OGG,Kahului, HI,12173,HNL,Honolulu, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,13830,OGG,Kahului, HI,12758,KOA,Kona, HI,620,3,
0.00,1TQ,Rhoades Aviation dba Transair,13830,OGG,Kahului, HI,12982,LIH,Lihue, HI,620,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,11126,CPX,Culebra, PR,15626,VQS,Vieques, PR,131,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,14819,SIG,San Juan, PR,11126,CPX,Culebra, PR,131,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,14819,SIG,San Juan, PR,15626,VQS,Vieques, PR,131,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15024,STT,Charlotte Amalie, VI,131,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15024,STT,Charlotte Amalie, VI,489,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,14843,SJU,San Juan, PR,15027,STX,Christiansted, VI,489,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,15626,VQS,Vieques, PR,11126,CPX,Culebra, PR,131,3,
0.00,1YQ,Air Charter, Inc d/b/a Air Flamenco,15626,VQS,Vieques, PR,14819,SIG,San Juan, PR,131,3,
0.00,9S,Southern Air Inc.,10299,ANC,Anchorage, AK,11193,CVG,Cincinnati, OH,819,3,
0.00,9S,Southern Air Inc.,10299,ANC,Anchorage, AK,12478,JFK,New York, NY,819,3,
0.00,9S,Southern Air Inc.,10299,ANC,Anchorage, AK,13303,MIA,Miami, FL,819,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,11292,DEN,Denver, CO,617,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,13198,MCI,Kansas City, MO,617,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,13303,MIA,Miami, FL,617,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,13342,MKE,Milwaukee, WI,617,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,14869,SLC,Salt Lake City, UT,617,3,
0.00,9S,Southern Air Inc.,11193,CVG,Cincinnati, OH,15016,STL,St. Louis, MO,617,3,
0.00,9S,Southern Air Inc.,11292,DEN,Denver, CO,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,11292,DEN,Denver, CO,14869,SLC,Salt Lake City, UT,617,3,
0.00,9S,Southern Air Inc.,12478,JFK,New York, NY,11193,CVG,Cincinnati, OH,819,3,
0.00,9S,Southern Air Inc.,13061,LRD,Laredo, TX,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,13198,MCI,Kansas City, MO,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,13295,MHR,Sacramento, CA,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,13295,MHR,Sacramento, CA,14869,SLC,Salt Lake City, UT,617,3,
0.00,9S,Southern Air Inc.,13303,MIA,Miami, FL,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,13303,MIA,Miami, FL,11193,CVG,Cincinnati, OH,819,3,
0.00,9S,Southern Air Inc.,13342,MKE,Milwaukee, WI,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,13871,OMA,Omaha, NE,15016,STL,St. Louis, MO,617,3,
0.00,9S,Southern Air Inc.,14512,RFD,Rockford, IL,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,14869,SLC,Salt Lake City, UT,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,14869,SLC,Salt Lake City, UT,13295,MHR,Sacramento, CA,617,3,
0.00,9S,Southern Air Inc.,15016,STL,St. Louis, MO,11193,CVG,Cincinnati, OH,617,3,
0.00,9S,Southern Air Inc.,15016,STL,St. Louis, MO,13871,OMA,Omaha, NE,617,3,
0.00,FX,Federal Express Corporation,10135,ABE,Allentown/Bethlehem/Easton, PA,10434,AVP,Scranton/Wilkes-Barre, PA,416,3,
0.00,FX,Federal Express Corporation,10135,ABE,Allentown/Bethlehem/Easton, PA,12339,IND,Indianapolis, IN,622,3,
0.00,FX,Federal Express Corporation,10135,ABE,Allentown/Bethlehem/Easton, PA,13244,MEM,Memphis, TN,622,3,
0.00,FX,Federal Express Corporation,10135,ABE,Allentown/Bethlehem/Easton, PA,13244,MEM,Memphis, TN,691,3,
0.00,FX,Federal Express Corporation,10136,ABI,Abilene, TX,12896,LBB,Lubbock, TX,416,3,
0.00,FX,Federal Express Corporation,10140,ABQ,Albuquerque, NM,11413,DRO,Durango, CO,416,3,
0.00,FX,Federal Express Corporation,10140,ABQ,Albuquerque, NM,11711,FMN,Farmington, NM,416,3,
0.00,FX,Federal Express Corporation,10140,ABQ,Albuquerque, NM,12896,LBB,Lubbock, TX,691,3,
0.00,FX,Federal Express Corporation,10140,ABQ,Albuquerque, NM,13244,MEM,Memphis, TN,626,3,
0.00,FX,Federal Express Corporation,10140,ABQ,Albuquerque, NM,13244,MEM,Memphis, TN,691,3,
