Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
01-20, 21, 7096104, 18, 79, 33
01-20, 22, 7096097, 19, 85, 33
01-20, 22, 7097526, 19, 89, 33
01-20, 23, 7097517, 23, 92, 35
01-20, 23, 7098947, 23, 95, 35
01-20, 24, 7098935, 29, 99, 37
01-20, 24, 7100363, 30, 103, 37
01-20, 25, 7100353, 25, 115, 40
01-20, 25, 7101780, 26, 118, 42
01-20, 26, 7101772, 26, 122, 46
01-20, 26, 7103206, 25, 121, 47
01-20, 27, 7103196, 28, 125, 50
01-20, 27, 7104630, 27, 127, 48
01-20, 28, 7104618, 29, 132, 53
01-20, 28, 7106050, 30, 132, 53
01-20, 29, 7106038, 26, 144, 57
01-20, 29, 7107469, 28, 145, 56
01-20, 30, 7107460, 24, 154, 60
01-20, 30, 7108897, 23, 153, 58
01-20, 31, 7108885, 21, 163, 62
Washington-Arlington-Alexandria DC-VA-MD-WV MSA
01-20, 1, 6280487, 0, 0, 0
01-20, 1, 6277959, 0, 0, 0
01-20, 2, 6277949, 10, 0, 0
01-20, 2, 6275421, 10, 0, 0
01-20, 3, 6275416, 13, 2, 0
01-20, 3, 6272888, 13, 2, 0
01-20, 4, 6272883, 10, 10, 0
01-20, 4, 6270355, 10, 10, 0
01-20, 5, 6270354, 9, 11, 1
01-20, 5, 6267826, 9, 11, 1
01-20, 6, 6267823, 6, 15, 3
01-20, 6, 6265295, 6, 15, 3
01-20, 7, 6265288, 11, 17, 3
01-20, 7, 6262760, 11, 17, 3
01-20, 8, 6262752, 16, 20, 3
01-20, 8, 6260224, 16, 20, 3
01-20, 9, 6260216, 19, 25, 3
01-20, 9, 6257688, 19, 25, 3
01-20, 10, 6257675, 22, 33, 5
01-20, 10, 6255147, 22, 33, 5
01-20, 11, 6255140, 21, 40, 6
01-20, 11, 6252611, 22, 40, 6
01-20, 12, 6252606, 24, 41, 8
01-20, 12, 6250077, 25, 41, 8
01-20, 13, 6250074, 15, 53, 9
01-20, 13, 6247547, 15, 52, 9
01-20, 14, 6247542, 14, 58, 9
01-20, 14, 6245013, 16, 57, 9
01-20, 15, 6245006, 16, 63, 10
01-20, 15, 6242476, 18, 63, 10
01-20, 16, 6242473, 9, 73, 12
01-20, 16, 6239945, 10, 72, 12
01-20, 17, 6239939, 12, 75, 13
01-20, 17, 6237409, 14, 75, 13
01-20, 18, 6237403, 15, 77, 16
01-20, 18, 6234873, 17, 77, 16
01-20, 19, 6234865, 15, 85, 18
01-20, 19, 6232334, 15, 87, 19
01-20, 20, 6232328, 14, 88, 25
01-20, 20, 6229796, 16, 89, 26
01-20, 21, 6229786, 21, 91, 29
01-20, 21, 6227255, 21, 93, 30
01-20, 22, 6227246, 23, 97, 33
01-20, 22, 6224715, 24, 98, 34
01-20, 23, 6224703, 30, 101, 37
01-20, 23, 6222170, 34, 101, 38
01-20, 24, 6222160, 33, 106, 44
01-20, 24, 6219631, 34, 105, 45
01-20, 25, 6219620, 32, 115, 48
01-20, 25, 6217093, 32, 113, 49
01-20, 26, 6217080, 34, 120, 53
01-20, 26, 6214552, 35, 119, 53
01-20, 27, 6214541, 35, 128, 55
01-20, 27, 6212014, 35, 126, 56
01-20, 28, 6211994, 37, 136, 64
01-20, 28, 6209467, 37, 135, 64
01-20, 29, 6209447, 39, 150, 67
01-20, 29, 6206919, 39, 150, 67
01-20, 30, 6206899, 42, 159, 75
01-20, 30, 6204373, 43, 156, 75
01-20, 31, 6204355, 42, 170, 80
Miami-Fort Lauderdale-Pompano Beach FL MSA
01-20, 1, 6166488, 0, 0, 0
01-20, 1, 6169297, 0, 0, 0
01-20, 2, 6169291, 6, 0, 0
01-20, 2, 6172100, 6, 0, 0
01-20, 3, 6172089, 15, 2, 0
01-20, 3, 6174897, 15, 3, 0
01-20, 4, 6174890, 18, 7, 0
01-20, 4, 6177698, 18, 8, 0
01-20, 5, 6177691, 19, 14, 0
01-20, 5, 6180499, 19, 15, 0
01-20, 6, 6180492, 16, 25, 0
01-20, 6, 6183299, 16, 27, 0
01-20, 7, 6183290, 21, 31, 0
01-20, 7, 6186097, 21, 33, 0
01-20, 8, 6186091, 22, 37, 1
01-20, 8, 6188899, 22, 38, 1
01-20, 9, 6188896, 13, 50, 1
01-20, 9, 6191702, 13, 53, 1
01-20, 10, 6191701, 10, 54, 4
01-20, 10, 6194511, 10, 53, 4
01-20, 11, 6194501, 15, 55, 7
01-20, 11, 6197310, 16, 54, 7
01-20, 12, 6197305, 15, 58, 9
01-20, 12, 6200116, 16, 56, 8
01-20, 13, 6200109, 13, 65, 9
01-20, 13, 6202916, 13, 68, 8
01-20, 14, 6202912, 12, 70, 11
01-20, 14, 6205717, 12, 73, 12
01-20, 15, 6205710, 18, 69, 17
01-20, 15, 6208518, 18, 69, 18
01-20, 16, 6208513, 13, 75, 22
01-20, 16, 6211323, 14, 73, 22
01-20, 17, 6211314, 14, 80, 24
01-20, 17, 6214123, 15, 79, 24
01-20, 18, 6214115, 17, 82, 27
01-20, 18, 6216923, 19, 81, 27
01-20, 19, 6216914, 22, 86, 28
01-20, 19, 6219725, 22, 84, 28
01-20, 20, 6219709, 33, 86, 31
01-20, 20, 6222520, 33, 85, 30
01-20, 21, 6222508, 31, 99, 30
