Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
06-19, 21, 19297029, 54, 631, 5858
06-19, 21, 19299099, 54, 631, 5859
06-19, 22, 19299085, 45, 628, 5885
06-19, 22, 19301157, 45, 628, 5884
06-19, 23, 19301134, 53, 625, 5902
06-19, 23, 19303202, 53, 626, 5904
06-19, 24, 19303179, 51, 628, 5927
06-19, 24, 19305251, 51, 627, 5927
06-19, 25, 19305231, 49, 624, 5952
06-19, 25, 19307304, 49, 624, 5950
06-19, 26, 19307291, 42, 630, 5964
06-19, 26, 19309361, 42, 630, 5965
06-19, 27, 19309342, 45, 627, 5984
06-19, 27, 19311411, 45, 627, 5986
06-19, 28, 19311388, 46, 623, 6012
06-19, 28, 19313457, 46, 623, 6014
06-19, 29, 19313430, 60, 616, 6034
06-19, 29, 19315498, 60, 616, 6037
06-19, 30, 19315477, 56, 623, 6055
06-19, 30, 19317541, 56, 624, 6061
07-19, 1, 19317531, 42, 620, 6089
07-19, 1, 19319907, 42, 620, 6088
07-19, 2, 19319888, 46, 611, 6112
07-19, 2, 19322262, 46, 611, 6113
07-19, 3, 19322241, 55, 597, 6139
07-19, 3, 19324618, 55, 597, 6137
07-19, 4, 19324602, 51, 592, 6162
07-19, 4, 19326976, 51, 592, 6163
07-19, 5, 19326955, 50, 590, 6187
07-19, 5, 19329330, 50, 590, 6187
07-19, 6, 19329304, 52, 591, 6210
07-19, 6, 19331678, 52, 591, 6211
07-19, 7, 19331658, 41, 606, 6227
07-19, 7, 19334034, 41, 606, 6226
07-19, 8, 19334014, 44, 606, 6243
07-19, 8, 19336390, 44, 606, 6242
07-19, 9, 19336372, 45, 602, 6263
07-19, 9, 19338745, 45, 602, 6265
07-19, 10, 19338721, 48, 602, 6286
07-19, 10, 19341095, 48, 602, 6287
07-19, 11, 19341080, 42, 603, 6307
07-19, 11, 19343456, 42, 603, 6306
07-19, 12, 19343439, 35, 605, 6328
07-19, 12, 19345813, 35, 606, 6328
07-19, 13, 19345794, 39, 605, 6344
07-19, 13, 19348175, 39, 604, 6339
07-19, 14, 19348156, 47, 577, 6377
07-19, 14, 19350531, 47, 577, 6377
07-19, 15, 19350515, 49, 569, 6399
07-19, 15, 19352889, 49, 569, 6400
07-19, 16, 19352864, 54, 569, 6420
07-19, 16, 19355242, 54, 569, 6417
07-19, 17, 19355212, 65, 575, 6430
07-19, 17, 19357587, 65, 575, 6430
07-19, 18, 19357565, 60, 571, 6461
07-19, 18, 19359939, 60, 571, 6462
07-19, 19, 19359920, 57, 569, 6486
07-19, 19, 19362298, 57, 569, 6483
07-19, 20, 19362276, 52, 579, 6500
07-19, 20, 19364650, 52, 579, 6501
07-19, 21, 19364630, 48, 581, 6523
07-19, 21, 19367004, 48, 581, 6524
07-19, 22, 19366986, 45, 577, 6549
07-19, 22, 19369359, 45, 577, 6551
07-19, 23, 19369339, 44, 572, 6577
07-19, 23, 19371714, 44, 572, 6577
07-19, 24, 19371690, 49, 569, 6599
07-19, 24, 19374066, 49, 569, 6598
07-19, 25, 19374047, 44, 568, 6623
07-19, 25, 19376423, 44, 568, 6622
07-19, 26, 19376400, 53, 561, 6643
07-19, 26, 19378777, 53, 561, 6641
07-19, 27, 19378758, 57, 556, 6661
07-19, 27, 19381131, 57, 556, 6663
07-19, 28, 19381108, 56, 562, 6681
07-19, 28, 19383487, 56, 562, 6677
07-19, 29, 19383474, 48, 552, 6708
07-19, 29, 19385852, 48, 552, 6705
07-19, 30, 19385829, 57, 554, 6717
07-19, 30, 19388204, 57, 555, 6716
07-19, 31, 19388183, 53, 564, 6732
07-19, 31, 19390561, 53, 564, 6729
08-19, 1, 19390546, 41, 575, 6745
08-19, 1, 19392558, 41, 575, 6748
08-19, 2, 19392527, 58, 560, 6777
08-19, 2, 19394549, 58, 559, 6771
08-19, 3, 19394531, 51, 569, 6786
08-19, 3, 19396545, 52, 570, 6785
08-19, 4, 19396524, 48, 569, 6811
08-19, 4, 19398541, 48, 569, 6809
08-19, 5, 19398522, 54, 567, 6824
08-19, 5, 19400534, 54, 567, 6827
08-19, 6, 19400511, 56, 570, 6845
08-19, 6, 19402525, 56, 569, 6847
08-19, 7, 19402510, 54, 567, 6866
08-19, 7, 19404526, 54, 567, 6865
08-19, 8, 19404503, 58, 568, 6883
08-19, 8, 19406518, 58, 567, 6884
08-19, 9, 19406499, 54, 569, 6905
08-19, 9, 19408510, 54, 569, 6909
08-19, 10, 19408486, 55, 579, 6922
08-19, 10, 19410501, 55, 579, 6922
08-19, 11, 19410475, 61, 578, 6943
08-19, 11, 19412487, 62, 579, 6944
08-19, 12, 19412468, 50, 593, 6961
08-19, 12, 19414482, 50, 593, 6962
08-19, 13, 19414466, 46, 591, 6984
08-19, 13, 19416479, 46, 591, 6986
08-19, 14, 19416463, 49, 580, 7010
08-19, 14, 19418478, 49, 580, 7010
08-19, 15, 19418459, 45, 583, 7030
08-19, 15, 19420470, 45, 583, 7034
08-19, 16, 19420452, 42, 580, 7058
08-19, 16, 19422463, 43, 580, 7061
08-19, 17, 19422451, 32, 587, 7077
08-19, 17, 19424466, 32, 586, 7078
08-19, 18, 19424445, 40, 581, 7096
08-19, 18, 19426458, 40, 582, 7097
08-19, 19, 19426446, 35, 572, 7124
08-19, 19, 19428462, 35, 571, 7124
08-19, 20, 19428436, 50, 554, 7152
08-19, 20, 19430450, 50, 554, 7153
08-19, 21, 19430429, 43, 559, 7176
08-19, 21, 19432443, 43, 559, 7177
08-19, 22, 19432429, 38, 556, 7199
08-19, 22, 19434445, 38, 556, 7198
08-19, 23, 19434427, 39, 547, 7224
08-19, 23, 19436440, 39, 547, 7226
08-19, 24, 19436416, 48, 551, 7237
08-19, 24, 19438431, 48, 551, 7237
08-19, 25, 19438417, 42, 554, 7254
08-19, 25, 19440432, 42, 554, 7254
08-19, 26, 19440419, 42, 543, 7278
08-19, 26, 19442433, 42, 543, 7279
08-19, 27, 19442409, 52, 540, 7296
08-19, 27, 19444426, 52, 540, 7294
08-19, 28, 19444408, 48, 546, 7310
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213783, 11, 0, 0
01-20, 2, 13212778, 11, 0, 0
01-20, 3, 13212769, 18, 2, 0
01-20, 3, 13211764, 18, 2, 0
01-20, 4, 13211757, 20, 7, 0
01-20, 4, 13210750, 22, 7, 0
01-20, 5, 13210733, 33, 13, 0
01-20, 5, 13209727, 34, 13, 0
01-20, 6, 13209713, 30, 30, 1
01-20, 6, 13208712, 30, 26, 1
01-20, 7, 13208700, 27, 41, 1
01-20, 7, 13207695, 27, 41, 1
01-20, 8, 13207683, 26, 54, 1
01-20, 8, 13206679, 26, 53, 1
01-20, 9, 13206665, 27, 63, 4
01-20, 9, 13205661, 27, 62, 4
01-20, 10, 13205648, 29, 71, 6
01-20, 10, 13204643, 29, 71, 6
01-20, 11, 13204630, 32, 80, 7
01-20, 11, 13203623, 32, 82, 7
01-20, 12, 13203615, 26, 95, 8
01-20, 12, 13202609, 26, 96, 8
01-20, 13, 13202599, 25, 105, 10
01-20, 13, 13201595, 25, 104, 10
01-20, 14, 13201583, 28, 109, 14
01-20, 14, 13200577, 28, 110, 14
01-20, 15, 13200565, 32, 113, 19
01-20, 15, 13199559, 32, 114, 19
01-20, 16, 13199546, 34, 121, 23
01-20, 16, 13198538, 37, 121, 23
01-20, 17, 13198524, 39, 128, 28
01-20, 17, 13197519, 39, 128, 28
01-20, 18, 13197510, 30, 142, 32
01-20, 18, 13196502, 30, 144, 33
01-20, 19, 13196492, 29, 147, 41
01-20, 19, 13195481, 30, 150, 43
