Each row contains mmyy, dd, s (susceptible), e (exposed), i (infected), and r (removed) population for a particular metro area
New York-Newark-Jersey City NY-NJ-PA MSA
05-19, 29, 19380872, 101, 1953, 11438
05-19, 30, 19380831, 99, 1924, 11510
05-19, 30, 19384676, 100, 1920, 11508
05-19, 31, 19384641, 97, 1885, 11581
05-19, 31, 19388475, 97, 1885, 11587
06-19, 1, 19388438, 96, 1855, 11655
06-19, 1, 19401070, 96, 1855, 11660
06-19, 2, 19400888, 245, 1827, 11721
06-19, 2, 19413507, 244, 1831, 11736
06-19, 3, 19413312, 344, 1857, 11805
06-19, 3, 19425934, 346, 1858, 11817
06-19, 4, 19425751, 385, 1935, 11884
06-19, 4, 19438377, 387, 1936, 11892
06-19, 5, 19438163, 446, 2016, 11967
06-19, 5, 19450788, 447, 2018, 11976
06-19, 6, 19450603, 478, 2113, 12035
06-19, 6, 19463226, 478, 2108, 12054
06-19, 7, 19463036, 489, 2209, 12132
06-19, 7, 19475654, 489, 2205, 12155
06-19, 8, 19475430, 533, 2315, 12225
06-19, 8, 19488067, 533, 2310, 12230
06-19, 9, 19487856, 525, 2458, 12301
06-19, 9, 19500461, 528, 2457, 12331
06-19, 10, 19500217, 574, 2572, 12414
06-19, 10, 19512811, 578, 2574, 12451
06-19, 11, 19512542, 596, 2748, 12528
06-19, 11, 19525147, 597, 2749, 12558
06-19, 12, 19524889, 629, 2879, 12654
06-19, 12, 19537506, 629, 2880, 12673
06-19, 13, 19537203, 676, 3045, 12764
06-19, 13, 19549816, 678, 3046, 12785
06-19, 14, 19549519, 737, 3181, 12888
06-19, 14, 19562128, 743, 3184, 12907
06-19, 15, 19561817, 757, 3349, 13039
06-19, 15, 19574443, 754, 3348, 13054
06-19, 16, 19574135, 766, 3544, 13154
06-19, 16, 19586768, 769, 3539, 13160
06-19, 17, 19586415, 836, 3695, 13290
06-19, 17, 19599043, 841, 3694, 13295
06-19, 18, 19598721, 829, 3898, 13425
06-19, 18, 19611326, 833, 3896, 13455
06-19, 19, 19610921, 931, 4060, 13598
06-19, 19, 19623516, 939, 4078, 13614
06-19, 20, 19623109, 989, 4277, 13772
06-19, 20, 19635737, 990, 4277, 13780
06-19, 21, 19635333, 1009, 4507, 13935
06-19, 21, 19647969, 1009, 4509, 13934
06-19, 22, 19647541, 1050, 4758, 14072
06-19, 22, 19660153, 1054, 4771, 14080
06-19, 23, 19659688, 1144, 4990, 14236
06-19, 23, 19672287, 1151, 4996, 14261
06-19, 24, 19671793, 1198, 5265, 14439
06-19, 24, 19684404, 1211, 5279, 14438
06-19, 25, 19683911, 1199, 5601, 14621
06-19, 25, 19696525, 1208, 5604, 14632
06-19, 26, 19695951, 1304, 5898, 14816
06-19, 26, 19708575, 1300, 5888, 14843
06-19, 27, 19708021, 1360, 6179, 15046
06-19, 27, 19720627, 1370, 6184, 15062
06-19, 28, 19720029, 1449, 6515, 15250
06-19, 28, 19732664, 1457, 6525, 15234
06-19, 29, 19732040, 1517, 6866, 15457
06-19, 29, 19744651, 1515, 6872, 15479
06-19, 30, 19743979, 1602, 7222, 15714
06-19, 30, 19756564, 1612, 7223, 15755
07-19, 1, 19755810, 1762, 7562, 16020
07-19, 1, 19772562, 1779, 7576, 16026
07-19, 2, 19771392, 2231, 8015, 16305
07-19, 2, 19788149, 2241, 8023, 16319
07-19, 3, 19786907, 2620, 8599, 16606
07-19, 3, 19803650, 2631, 8616, 16624
07-19, 4, 19802350, 2934, 9288, 16949
07-19, 4, 19819099, 2937, 9306, 16968
07-19, 5, 19817707, 3176, 10105, 17322
07-19, 5, 19834438, 3190, 10130, 17341
07-19, 6, 19832892, 3519, 10957, 17731
07-19, 6, 19849626, 3527, 10975, 17760
07-19, 7, 19847985, 3758, 11990, 18155
07-19, 7, 19864728, 3772, 12014, 18163
07-19, 8, 19863025, 3952, 13150, 18550
07-19, 8, 19879793, 3952, 13166, 18555
07-19, 9, 19877832, 4328, 14283, 19023
07-19, 9, 19894547, 4337, 14316, 19055
07-19, 10, 19892348, 4820, 15548, 19539
07-19, 10, 19909066, 4844, 15563, 19571
07-19, 11, 19906759, 5207, 16973, 20105
07-19, 11, 19923493, 5216, 16998, 20126
07-19, 12, 19920999, 5673, 18403, 20758
07-19, 12, 19937732, 5687, 18431, 20772
07-19, 13, 19934898, 6250, 20055, 21419
07-19, 13, 19951654, 6283, 20081, 21393
07-19, 14, 19948663, 6817, 21815, 22116
07-19, 14, 19965375, 6837, 21858, 22130
07-19, 15, 19962039, 7530, 23711, 22920
07-19, 15, 19978688, 7566, 23774, 22961
07-19, 16, 19975182, 8127, 25933, 23747
07-19, 16, 19991846, 8141, 25974, 23817
07-19, 17, 19987889, 8860, 28263, 24766
07-19, 17, 20004549, 8883, 28318, 24817
07-19, 18, 20000327, 9593, 30808, 25839
07-19, 18, 20017002, 9620, 30869, 25865
07-19, 19, 20012364, 10548, 33476, 26968
07-19, 19, 20029051, 10560, 33542, 26992
07-19, 20, 20023996, 11477, 36513, 28159
07-19, 20, 20040648, 11508, 36609, 28169
07-19, 21, 20035173, 12452, 39841, 29468
07-19, 21, 20051778, 12512, 39937, 29496
07-19, 22, 20045896, 13567, 43390, 30870
07-19, 22, 20062485, 13597, 43497, 30933
07-19, 23, 20055957, 14784, 47318, 32453
07-19, 23, 20072533, 14826, 47441, 32501
07-19, 24, 20065429, 16057, 51637, 34178
07-19, 24, 20082003, 16118, 51741, 34228
07-19, 25, 20074303, 17505, 56164, 36118
07-19, 25, 20090881, 17558, 56271, 36169
07-19, 26, 20082472, 19000, 61212, 38195
07-19, 26, 20099063, 19049, 61331, 38225
07-19, 27, 20089849, 20811, 66643, 40365
07-19, 27, 20106355, 20880, 66756, 40466
07-19, 28, 20096387, 22689, 72513, 42868
07-19, 28, 20112900, 22782, 72654, 42910
07-19, 29, 20102035, 24799, 78929, 45483
07-19, 29, 20118485, 24884, 79091, 45575
07-19, 30, 20106537, 27172, 85995, 48331
07-19, 30, 20122978, 27267, 86178, 48401
07-19, 31, 20110077, 29320, 93986, 51441
07-19, 31, 20126493, 29422, 94180, 51518
08-19, 1, 20112352, 31928, 102521, 54812
08-19, 1, 20126358, 32009, 102686, 54886
08-19, 2, 20111119, 34605, 111623, 58592
08-19, 2, 20124935, 34752, 111860, 58718
08-19, 3, 20108125, 37990, 121521, 62629
08-19, 3, 20122044, 38113, 121674, 62760
08-19, 4, 20103841, 41398, 132308, 67044
08-19, 4, 20117770, 41518, 132515, 67114
08-19, 5, 20097920, 44990, 144286, 71721
08-19, 5, 20111667, 45169, 144571, 71836
08-19, 6, 20089858, 49241, 157263, 76881
08-19, 6, 20103570, 49353, 157592, 77054
08-19, 7, 20079640, 53726, 171660, 82543
08-19, 7, 20093345, 53904, 171991, 82655
08-19, 8, 20067600, 58398, 187222, 88675
08-19, 8, 20081401, 58546, 187508, 88766
08-19, 9, 20053110, 63748, 203999, 95364
08-19, 9, 20066803, 63888, 204316, 95540
08-19, 10, 20036242, 69231, 222465, 102609
08-19, 10, 20049814, 69418, 222856, 102785
08-19, 11, 20016448, 75381, 242463, 110581
08-19, 11, 20029872, 75568, 243002, 110757
08-19, 12, 19993184, 82713, 264074, 119228
08-19, 12, 20006677, 82894, 264593, 119361
08-19, 13, 19967109, 90074, 287671, 128671
08-19, 13, 19980445, 90327, 288250, 128829
08-19, 14, 19937292, 98079, 313298, 139182
08-19, 14, 19950625, 98328, 313768, 139456
08-19, 15, 19904044, 106161, 341282, 150690
08-19, 15, 19917277, 106432, 341866, 150928
08-19, 16, 19866009, 115805, 371784, 162905
08-19, 16, 19879083, 116155, 372412, 163179
08-19, 17, 19823240, 126317, 404972, 176300
08-19, 17, 19836370, 126636, 405591, 176558
08-19, 18, 19775487, 137520, 441303, 190845
08-19, 18, 19788457, 137868, 442008, 191148
08-19, 19, 19722015, 150168, 480508, 206790
08-19, 19, 19734943, 150511, 481293, 207060
08-19, 20, 19662733, 163486, 523574, 224014
08-19, 20, 19675312, 163861, 524532, 224428
08-19, 21, 19596948, 177565, 570718, 242902
08-19, 21, 19609582, 178005, 571647, 243225
08-19, 22, 19524247, 193235, 621731, 263246
08-19, 22, 19536746, 193609, 622752, 263678
08-19, 23, 19443219, 211219, 676815, 285532
08-19, 23, 19455305, 211770, 678027, 286009
08-19, 24, 19353894, 229811, 737594, 309812
08-19, 24, 19365805, 230306, 738940, 310386
08-19, 25, 19255494, 249998, 803769, 336176
08-19, 25, 19267009, 250665, 805271, 336818
08-19, 26, 19146493, 272434, 875683, 365153
08-19, 26, 19158067, 273163, 877080, 365779
08-19, 27, 19026863, 296415, 954490, 396321
08-19, 27, 19038041, 297137, 956149, 397088
08-19, 28, 18895891, 322896, 1039259, 430369
Los Angeles-Long Beach-Anaheim CA MSA
01-20, 1, 13214799, 0, 0, 0
01-20, 1, 13213794, 0, 0, 0
01-20, 2, 13213781, 13, 0, 0
01-20, 2, 13212776, 12, 1, 0
01-20, 3, 13212760, 21, 8, 0
01-20, 3, 13211753, 21, 10, 0
01-20, 4, 13211737, 28, 19, 0
01-20, 4, 13210731, 29, 19, 0
01-20, 5, 13210715, 34, 30, 0
01-20, 5, 13209710, 33, 31, 0
01-20, 6, 13209699, 30, 44, 1
01-20, 6, 13208694, 30, 44, 1
01-20, 7, 13208681, 34, 53, 1
01-20, 7, 13207676, 34, 52, 2
01-20, 8, 13207666, 29, 65, 4
01-20, 8, 13206662, 29, 64, 4
01-20, 9, 13206648, 32, 72, 7
01-20, 9, 13205640, 35, 72, 7
01-20, 10, 13205625, 42, 78, 9
01-20, 10, 13204620, 42, 78, 9
01-20, 11, 13204603, 47, 88, 11
01-20, 11, 13203598, 47, 88, 11
01-20, 12, 13203579, 46, 107, 12
01-20, 12, 13202570, 47, 110, 12
01-20, 13, 13202553, 48, 119, 19
01-20, 13, 13201548, 48, 119, 19
01-20, 14, 13201541, 31, 140, 22
01-20, 14, 13200536, 31, 140, 22
01-20, 15, 13200527, 33, 144, 25
01-20, 15, 13199521, 35, 143, 25
01-20, 16, 13199507, 33, 150, 34
01-20, 16, 13198499, 34, 153, 33
01-20, 17, 13198487, 33, 160, 39
01-20, 17, 13197482, 33, 160, 39
01-20, 18, 13197465, 38, 169, 42
01-20, 18, 13196457, 40, 170, 42
01-20, 19, 13196444, 41, 176, 48
01-20, 19, 13195439, 41, 176, 48
01-20, 20, 13195423, 41, 188, 52
01-20, 20, 13194418, 41, 189, 51
01-20, 21, 13194402, 36, 203, 58
01-20, 21, 13193395, 37, 203, 59
01-20, 22, 13193372, 44, 210, 68
01-20, 22, 13192367, 44, 211, 67
01-20, 23, 13192351, 46, 216, 76
01-20, 23, 13191344, 46, 218, 76
01-20, 24, 13191328, 45, 229, 82
01-20, 24, 13190323, 46, 228, 82
01-20, 25, 13190306, 45, 239, 89
01-20, 25, 13189302, 47, 238, 87
01-20, 26, 13189282, 49, 247, 96
01-20, 26, 13188281, 49, 246, 93
01-20, 27, 13188257, 54, 253, 105
01-20, 27, 13187249, 56, 255, 104
01-20, 28, 13187222, 62, 261, 119
